mp_id,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,formation_energy (eV/atom),energy_above_hull (eV/atom),band_gap (eV),A_site,B_site,X_site
mp-1183115,Ac1 Al1 O3,3.85863387,3.85863387,3.85863387,90.0,90.0,90.0,cubic,Pm-3m,-3.690019421,0.0,4.1024,Ac,Al,O
mp-1183052,Ac1 B1 O3,3.721668,3.721668,3.721668,90.0,90.0,90.0,cubic,Pm-3m,-2.475389555,0.792472745,0.8071,Ac,B,O
mp-866101,Ac1 Cr1 O3,3.9442869,3.94430226,3.9442715,90.0,90.0,90.0,cubic,Pm-3m,-3.13897213,0.0,2.0031,Ac,Cr,O
mp-864606,Ac1 Cu1 O3,3.91333125,3.91333125,3.91333125,90.0,90.0,90.0,cubic,Pm-3m,-2.422892424,0.0,0.0,Ac,Cu,O
mp-861502,Ac1 Fe1 O3,3.95356962,3.9535675,3.95358451,90.00009246,90.0,90.0,cubic,Pm-3m,-2.771539466,0.0,0.9888,Ac,Fe,O
mp-1183053,Ac1 Ga1 O3,3.94626209,3.94626209,3.94626209,90.0,90.0,90.0,cubic,Pm-3m,-3.063252617,0.0,2.8959,Ac,Ga,O
mp-1183142,Ac1 Mg1 O3,4.016262,4.016262,4.016262,90.0,90.0,90.0,cubic,Pm-3m,-3.001845327,0.082312486,0.0,Ac,Mg,O
mp-864911,Ac1 Mn1 O3,3.96302168,3.96302168,3.96302168,90.0,90.0,90.0,cubic,Pm-3m,-2.973630023,0.0,0.0,Ac,Mn,O
mp-1183139,Ac1 Ni1 O3,3.87883955,3.87883649,3.87881202,90.0,90.0,90.0,cubic,Pm-3m,-2.455476575,0.0,0.0,Ac,Ni,O
mp-1183145,Ac1 Pd1 O3,4.05520794,4.05520691,4.05520589,90.0,90.0,90.0,cubic,Pm-3m,-2.236955405,0.008102041,0.0,Ac,Pd,O
mp-1183152,Ac1 Sc1 O3,4.125046,4.125046,4.125046,90.0,90.0,90.0,cubic,Pm-3m,-3.82906043,0.024140035,3.3847,Ac,Sc,O
mp-1183150,Ac1 Si1 O3,3.970175,3.970175,3.970175,90.0,90.0,90.0,cubic,Pm-3m,-2.868246384,0.473361866,0.0,Ac,Si,O
mp-865927,Ac1 Ti1 O3,3.99582001,3.99582001,3.99582001,90.0,90.0,90.0,cubic,Pm-3m,-3.607635738,0.0,0.0,Ac,Ti,O
mp-1183168,Ac1 V1 O3,3.96789433,3.96789746,3.96789433,90.0,90.0,90.0,cubic,Pm-3m,-3.141069096,0.0,0.0,Ac,V,O
mp-1105645,Ag3 S1 Br1,6.992429543,6.992429543,9.917093,90.0,90.0,91.0507128,ortho,Cmcm,-0.305523741,0.098312406,0.2964,S,Br,Ag
mp-1229116,Ag3 S1 Br1,4.921708553,4.980664015,4.825298,90.0,90.0,93.27696025,mono,Pm,-0.340137506,0.063698641,0.3987,S,Br,Ag
mp-36600,Ag3 S1 Br1,6.978889373,6.905923242,6.864160667,60.90296584,59.84408842,59.25294575,ortho,Fmm2,-0.335539761,0.068296386,0.3977,S,Br,Ag
mp-1173025,Ag3 S1 I1,7.115597778,7.032828703,6.990995493,60.97987425,59.80033117,59.21979458,ortho,Fmm2,-0.240416389,0.086675302,0.3398,S,I,Ag
mp-22995,Ag3 S1 I1,4.95772377,4.95772377,4.957723388,89.9093587,89.9093587,89.9093568,trig,R3,-0.260273494,0.066818197,0.5478,S,I,Ag
mp-558189,Ag3 S1 I1,5.009586,5.009586,5.009586,90.0,90.0,90.0,cubic,Pm-3m,-0.210696186,0.116395505,0.6243,S,I,Ag
mp-632480,Ag3 S1 I1,4.892054,4.925177547,5.12078399,89.94357745,89.40346588,88.71918978,tri,P1,-0.253409458,0.073682233,0.1676,S,I,Ag
mp-673825,Ag3 S1 I1,10.15182148,7.09353404,7.010985412,58.88260302,43.45932273,44.64430486,tri,P1,-0.242326689,0.084765002,0.257,S,I,Ag
mp-674981,Ag3 S1 I1,4.876098,5.020287,5.059902651,87.61947899,90.0,90.0,mono,Pm,-0.249866666,0.077225025,0.2624,S,I,Ag
mp-675879,Ag3 S1 I1,7.169073,4.912614,7.022944576,89.3374277,90.0,90.0,mono,P2_1,-0.251581948,0.075509743,0.3216,S,I,Ag
mp-676121,Ag3 S1 I1,4.31969,4.732148164,13.27867368,89.65796526,87.07948282,89.88724023,tri,P1,-0.253157371,0.07393432,0.3739,S,I,Ag
mp-676561,Ag3 S1 I1,4.999040194,4.999040194,4.999040596,91.00785625,91.00785625,91.00786029,trig,R32,-0.249479486,0.077612205,0.333,S,I,Ag
mp-1178563,Ag1 As1 O3,6.389075483,6.389075483,6.389075851,45.13452662,45.13452672,45.13451435,trig,R-3,-1.269711259,0.0,0.2921,Ag,As,O
mp-558950,Ag1 As1 O3,6.755519,12.790828,20.006086,90.0,90.0,90.0,ortho,Pca2_1,-1.243945945,0.025765314,0.593,Ag,As,O
mp-775767,Ag1 As1 O3,7.778960826,7.778960826,5.158002727,81.14945767,81.14945767,88.23298173,mono,C2/c,-1.232443394,0.037267864,0.7378,Ag,As,O
mp-752678,Ag1 Au1 O3,6.423519613,6.423519613,7.539733,90.0,90.0,108.9190307,ortho,Cmcm,0.002464529,0.418732773,0.0,Ag,Au,O
mp-776165,Ag1 Au1 O3,7.28592645,7.28592645,7.28592645,60.0,60.0,60.0,cubic,Fd-3m,-0.356843842,0.059424402,0.2423,Ag,Au,O
mp-780275,Ag1 B1 O3,6.001194421,6.001194421,6.001195138,48.15921914,48.15921914,48.15922374,trig,R-3c,-1.501129671,0.08524003,0.0,Ag,B,O
mp-985292,Ag1 B1 O3,3.483287,3.483287,3.483287,90.0,90.0,90.0,cubic,Pm-3m,-0.546613989,1.039755712,0.0,Ag,B,O
mp-23548,Ag1 Bi1 O3,6.303216286,6.303216286,6.303216494,54.56053531,54.56053531,54.5605319,trig,R-3,-1.003011011,0.049876171,0.0,Ag,Bi,O
mp-775774,Ag1 Bi1 O3,6.68804174,6.68804174,3.49088122,90.0,90.0,107.0726382,ortho,Cmmm,-1.024969332,0.02791785,0.0,Ag,Bi,O
mp-1178562,Ag1 Br1 O3,4.30379165,4.30379165,4.303792864,81.38578014,81.38578014,81.3857794,trig,R3m,-0.285035796,0.001653319,2.383,Ag,Br,O
mp-753176,Ag1 C1 O3,6.031251394,6.031251806,6.031252522,48.62751633,48.62751289,48.62750179,trig,R-3c,-1.234091562,0.004634586,0.0,Ag,C,O
mp-1178561,Ag1 Cl1 O3,4.324921442,4.324921442,4.324920985,78.85146232,78.85146232,78.85145527,trig,R3m,-0.352713047,0.092817574,2.7117,Ag,Cl,O
mp-27941,Ag1 Cl1 O3,7.367087862,7.367087862,7.367087862,107.8848222,107.8848222,112.6928519,tet,I4/m,-0.407245895,0.038284726,2.3983,Ag,Cl,O
mp-775761,Ag1 Cl1 O3,6.6271587,6.6271587,6.6271587,90.0,90.0,90.0,cubic,P2_13,-0.413946469,0.031584152,3.1001,Ag,Cl,O
mp-776199,Ag1 Cl1 O3,5.41686,6.967275,8.843055669,67.81934874,90.0,90.0,mono,P2_1/c,-0.396925676,0.048604945,3.1131,Ag,Cl,O
mp-759939,Ag1 Ge1 O3,2.993014,5.324973,7.139362,90.0,90.0,90.0,ortho,Pmma,-1.309913022,0.161109082,0.0,Ag,Ge,O
mp-779664,Ag1 Ge1 O3,5.158475128,9.308652172,3.170383214,89.95567024,90.3853539,90.40350692,ortho,Pmc2_1,-1.335860173,0.135161931,0.0,Ag,Ge,O
mp-779706,Ag1 Ge1 O3,10.40786161,8.850075154,3.17289304,89.98576194,89.99137248,90.09551478,ortho,P2_12_12,-1.331455819,0.139566285,0.0,Ag,Ge,O
mp-891854,Ag1 Ge1 O3,3.170383,5.158475,9.308652,90.0,90.0,90.0,ortho,Pmma,-1.335310217,0.135711887,0.0,Ag,Ge,O
mp-891880,Ag1 Ge1 O3,10.323074,9.273411,12.646994,90.0,90.0,90.0,ortho,Pbam,-1.337641751,0.133380354,0.0,Ag,Ge,O
mp-1202188,Ag1 I1 O3,5.71481035,5.98186524,17.24873905,90.0,90.0,90.0,ortho,Pbca,-0.702125415,0.01094325,1.8069,Ag,I,O
mp-27384,Ag1 I1 O3,5.66928603,7.23941537,15.25444032,90.0,90.0,90.0,ortho,Pca2_1,-0.713068665,0.0,2.4375,Ag,I,O
mp-849271,Ag1 I1 O3,5.915064,6.645817,8.445084,90.0,90.0,90.0,ortho,Pnma,-0.685598792,0.027469874,1.9765,Ag,I,O
mp-552185,Ag1 N1 O3,6.201768483,6.201684965,6.201686928,49.08953044,49.08691654,49.08856255,trig,R3c,-0.680663545,0.0,1.8539,Ag,N,O
mp-638686,Ag1 N1 O3,6.90205076,7.20285772,10.01382351,90.0,90.0,90.0,ortho,Pbca,-0.678284163,0.002379383,2.0089,Ag,N,O
mp-669466,Ag1 N1 O3,7.077779,7.419143,10.226522,90.0,90.0,90.0,ortho,P2_12_12_1,-0.675633957,0.005029588,2.0027,Ag,N,O
mp-8196,Ag1 N1 O3,4.151836391,4.151836044,4.151836391,77.22416012,77.22415774,77.22416012,trig,R3m,-0.649492202,0.031171343,1.7204,Ag,N,O
mp-18702,Ag1 P1 O3,5.97752081,7.317044275,13.59925276,61.66666124,90.0,90.0,mono,P2_1/c,-1.958048158,0.0,2.0232,Ag,P,O
mp-775762,Ag1 P1 O3,4.050258,5.872686,11.96470882,68.46602396,90.0,90.0,mono,P2_1/c,-1.912603329,0.045444829,2.287,Ag,P,O
mp-5470,Ag1 P1 S3,6.780253846,6.780254284,6.619494314,96.22820341,115.8907391,117.8903189,mono,C2/m,-0.231924093,0.004740132,1.3228,Ag,P,S
mp-1178556,Ag1 Pb1 O3,6.063536039,6.063536039,6.063536146,56.91439183,56.91439183,56.91440088,trig,R-3,-0.845433529,0.111383396,0.0,Ag,Pb,O
mp-1200271,Ag1 Pd3 Se1,8.775577,8.775577,8.775577,90.0,90.0,90.0,cubic,Pa-3,-0.193956884,0.000731597,0.0,Ag,Se,Pd
mp-776166,Ag1 Pd1 O3,6.477634781,6.477634781,6.838195,90.0,90.0,111.1526736,ortho,Cmcm,-0.174272703,0.439272044,0.0,Ag,Pd,O
mp-776168,Ag1 Ru1 O3,7.214616145,7.214616145,7.214616145,60.0,60.0,60.0,cubic,Fd-3m,-0.993848582,0.057777263,0.0,Ag,Ru,O
mp-540872,Ag1 Sb1 O3,7.270079791,7.270079791,7.270079791,60.0,60.0,60.0,cubic,Fd-3m,-1.44447467,0.0,0.0946,Ag,Sb,O
mp-545999,Ag1 Sb1 O3,6.365893471,6.365892971,6.365893763,49.61821341,49.61826084,49.61834321,trig,R-3,-1.42771151,0.01676316,0.1333,Ag,Sb,O
mp-677054,Ag1 Sb1 O3,8.102397,8.3480744,13.44267748,90.76401145,90.34159842,109.3223431,tri,P1,-1.367956171,0.076518499,0.0,Ag,Sb,O
mp-860791,Ag1 Sb1 O3,8.165706637,8.165706637,9.517102341,55.48285219,55.48285219,71.23888223,mono,C2,-1.384051318,0.060423352,0.2875,Ag,Sb,O
mp-569052,Ag1 Se3 I1,5.101597,8.251258,15.05009,90.0,90.0,90.0,ortho,Pmna,-0.171012332,0.016091628,1.3964,Ag,I,Se
mp-755834,Ag1 Sn1 O3,6.605299848,6.605299848,3.286703,90.0,90.0,110.1813222,ortho,Cmmm,-1.349847933,0.091669976,0.0,Ag,Sn,O
mp-570431,Ag1 Te3 I1,5.147745,8.806155,16.469045,90.0,90.0,90.0,ortho,Pmna,-0.168168668,0.175717689,1.0025,Ag,I,Te
mp-558637,Ag1 Te1 O3,11.826693,6.024564,9.221228838,61.03323127,90.0,90.0,mono,P2_1/c,-1.125950917,0.02047435,1.6662,Ag,Te,O
mp-559257,Ag1 Te1 O3,6.92440761,6.518629494,13.29551785,88.99666929,90.0,90.0,mono,P2_1/c,-1.146425267,0.0,1.5732,Ag,Te,O
mp-561489,Ag1 Te1 O3,5.461745684,6.91813729,7.39980156,90.00000081,89.99999287,101.3021652,mono,P2_1/m,-1.126301109,0.020124158,1.1676,Ag,Te,O
mp-1228446,Al3 B1 C1,3.481176444,3.481176444,11.46837206,90.0,90.0,119.9999917,hex_,P6_3/mmc,-0.098011379,0.0,0.453,B,C,Al
mp-1183169,Al1 Ag1 O3,3.751028,3.751028,3.751028,90.0,90.0,90.0,cubic,Pm-3m,-1.615019715,0.285597335,0.0,Al,Ag,O
mp-1253488,Al1 Ag1 O3,4.313100198,5.740123171,10.01382801,90.00515801,89.999115,89.96925874,ortho,Pnma,-1.761097009,0.139520042,0.0622,Al,Ag,O
mp-1343327,Al1 Ag1 O3,6.049468028,6.049468028,10.846984,90.0,90.0,120.0000003,hex_,P6_3cm,-1.620883186,0.279733865,0.0481,Al,Ag,O
mp-1343733,Al1 Ag1 O3,4.727991,5.293314,9.496944,90.0,90.0,90.0,ortho,Pnma,-1.737600495,0.163016555,0.032,Al,Ag,O
mp-1404877,Al1 Ag1 O3,3.408284409,3.408284409,11.579135,90.0,90.0,120.0000079,hex_,P6_3/mmc,-1.380881373,0.519735677,0.0,Al,Ag,O
mp-1418444,Al1 Ag1 O3,4.003727,4.003727,4.003727,90.0,90.0,90.0,cubic,Pm-3m,-0.250836723,1.649780327,0.0,Al,Ag,O
mp-1183159,Al1 Au1 O3,3.76133,3.76133,3.76133,90.0,90.0,90.0,cubic,Pm-3m,-1.400460893,0.541741308,0.0,Al,Au,O
mp-8110,Al1 B1 O3,5.314435905,5.314435905,5.314435922,50.16091164,50.16091164,50.16091429,trig,R-3c,-3.118357857,0.030454673,5.8392,Al,B,O
mp-1344602,Al1 Bi1 O3,5.384863,5.395965,9.424568,90.0,90.0,90.0,ortho,Pnma,-2.319056277,0.234789573,0.948,Al,Bi,O
mp-1376082,Al1 Bi1 O3,6.323772693,6.323772693,11.833578,90.0,90.0,120.0000073,hex_,P6_3cm,-2.036173579,0.51767227,0.7618,Al,Bi,O
mp-1392353,Al1 Bi1 O3,3.642762492,3.642762492,12.876102,90.0,90.0,120.0000089,hex_,P6_3/mmc,-1.688248212,0.865597637,0.6411,Al,Bi,O
mp-1413511,Al1 Bi1 O3,4.274584,4.274584,4.274584,90.0,90.0,90.0,cubic,Pm-3m,-0.888822955,1.665022894,0.0,Al,Bi,O
mp-23080,Al1 Bi1 O3,3.787194,3.787194,3.787194,90.0,90.0,90.0,cubic,Pm-3m,-2.432236615,0.121609234,1.586,Al,Bi,O
mp-551918,Al1 Bi1 O3,5.45999944,5.45999944,5.459999208,59.45710362,59.45710362,59.45710056,trig,R3c,-2.500510785,0.053335064,2.9779,Al,Bi,O
mp-775763,Al1 Bi1 O3,5.094505,7.207137,8.683036793,63.00781439,90.0,90.0,mono,P2_1/c,-2.475551671,0.078294179,3.0001,Al,Bi,O
mp-1202918,Al1 Br3 N1,12.08136,12.809219,19.269713,90.0,90.0,90.0,ortho,Pbca,0.084624641,1.299064871,0.3442,Al,N,Br
mp-10037,Al1 Co3 C1,3.722911,3.722911,3.722911,90.0,90.0,90.0,cubic,Pm-3m,-0.208176925,0.0313939,0.0,Al,C,Co
mp-1178576,Al1 Co1 O3,5.175649032,5.175649032,5.175648975,55.59903088,55.59903088,55.59903478,trig,R-3,-2.309915379,0.031363284,2.5603,Al,Co,O
mp-1248478,Al1 Co1 O3,5.290845537,5.545188294,11.85510791,89.6862186,90.13927045,120.1235471,tri,P1,-2.090569429,0.250709234,0.0,Al,Co,O
mp-1348445,Al1 Co1 O3,5.414479802,5.414479802,11.557588,90.0,90.0,119.9999976,hex_,P6_3cm,-2.102443904,0.23883476,0.0,Al,Co,O
mp-1378752,Al1 Co1 O3,4.769809,4.920832,7.300502,90.0,90.0,90.0,ortho,Pnma,-2.159254788,0.182023875,0.0,Al,Co,O
mp-1386773,Al1 Co1 O3,3.151764268,3.151764268,11.266135,90.0,90.0,120.0000056,hex_,P6_3/mmc,-2.084813791,0.256464872,0.0,Al,Co,O
mp-1404938,Al1 Co1 O3,4.859754,4.877269817,5.186674642,116.1873906,89.94434658,118.6877788,tri,P-1,2.733328715,5.074607378,0.0255,Al,Co,O
mp-1435808,Al1 Co1 O3,3.694482,3.694482,3.694482,90.0,90.0,90.0,cubic,Pm-3m,-1.043343859,1.297934804,0.0,Al,Co,O
mp-754022,Al1 Co1 O3,4.846808021,5.366148668,4.936906816,87.08454333,59.72039375,115.9564544,tri,P1,-2.225202082,0.116076581,0.8939,Al,Co,O
mp-756947,Al1 Co1 O3,6.367889677,6.367889677,5.030233599,82.35712921,82.35712921,84.50423859,mono,C2/c,-2.23963163,0.101647033,0.8272,Al,Co,O
mp-776216,Al1 Co1 O3,4.859753715,5.325595422,4.964776402,87.24563963,59.51777561,116.0196539,tri,P-1,-2.236437596,0.104841067,0.3481,Al,Co,O
mp-1251690,Al1 Cr1 O3,5.515928196,5.515928196,11.631256,90.0,90.0,120.0000024,hex_,P6_3cm,-2.544427013,0.352142375,1.1578,Al,Cr,O
mp-1345463,Al1 Cr1 O3,5.019513,5.052393,7.532182,90.0,90.0,90.0,ortho,Pnma,-2.720283928,0.176285461,1.8029,Al,Cr,O
mp-1383064,Al1 Cr1 O3,3.826701,3.826701,3.726416,90.0,90.0,90.0,tet,P4/mmm,-1.553811511,1.342757877,0.0,Al,Cr,O
mp-1385937,Al1 Cr1 O3,3.18012745,3.18012745,11.738046,90.0,90.0,119.9999886,hex_,P6_3/mmc,-2.521658369,0.374911019,0.0,Al,Cr,O
mp-1178579,Al1 Cu1 O3,5.287445213,5.287445213,5.287445411,55.62803881,55.62803881,55.62803469,trig,R-3,-2.029827842,0.109386411,0.1349,Al,Cu,O
mp-1253258,Al1 Cu1 O3,5.648616041,5.648616041,10.488773,90.0,90.0,120.0000005,hex_,P6_3cm,-1.97314942,0.166064833,0.0,Al,Cu,O
mp-1347317,Al1 Cu1 O3,4.563595,4.870815,8.702906,90.0,90.0,90.0,ortho,Pnma,-1.957653834,0.181560419,0.0,Al,Cu,O
mp-1412082,Al1 Cu1 O3,3.15823634,3.15823634,11.229472,90.0,90.0,120.0000071,hex_,P6_3/mmc,-1.937878284,0.201335969,0.0,Al,Cu,O
mp-1504314,Al1 Cu1 O3,3.699148,3.699148,3.699148,90.0,90.0,90.0,cubic,Pm-3m,-0.848998753,1.2902155,0.0,Al,Cu,O
mp-776172,Al1 Cu1 O3,6.781667,4.709123,6.232749403,85.48211893,90.0,90.0,mono,P2_1/c,-2.055902871,0.083311382,0.35,Al,Cu,O
mp-1206715,Al1 Fe3 B1,3.822322,3.822322,3.822322,90.0,90.0,90.0,cubic,Pm-3m,-0.146577186,0.168673687,0.0,Al,B,Fe
mp-22793,Al1 Fe3 C1,3.78948866,3.78990736,3.78993006,90.0,90.0,90.0,cubic,Pm-3m,-0.160212901,0.0,0.0,Al,C,Fe
mp-1206123,Al1 Fe3 H1,3.69954721,3.69954826,3.69956512,90.0,90.0,90.0,cubic,Pm-3m,-0.205004722,0.0,0.0,Al,H,Fe
mp-1206767,Al1 Fe3 N1,3.717861,3.717861,3.717861,90.0,90.0,90.0,cubic,Pm-3m,-0.310164053,0.323238185,0.0,Al,N,Fe
mp-1206753,Al1 Fe3 O1,4.113634,4.113634,4.113634,90.0,90.0,90.0,cubic,Pm-3m,0.542747053,1.737968902,0.0,Al,O,Fe
mp-1178577,Al1 Fe1 O3,4.963586851,4.963348703,9.494494209,105.1516003,90.00137238,119.9984908,trig,R-3,-2.534268328,0.032552852,2.1792,Al,Fe,O
mp-1254277,Al1 Fe1 O3,4.886171,4.935838,7.438778,90.0,90.0,90.0,ortho,Pnma,-2.286588009,0.280233171,1.3295,Al,Fe,O
mp-1259818,Al1 Fe1 O3,4.982350367,5.00152093,7.943456491,91.03709341,89.68984125,90.23283036,mono,P2_1/c,-2.356194892,0.210626289,1.3608,Al,Fe,O
mp-1264966,Al1 Fe1 O3,4.974753428,4.999717351,7.945401365,88.65856987,90.34331471,90.39421631,tri,P-1,-2.330773589,0.236047592,0.0763,Al,Fe,O
mp-1398131,Al1 Fe1 O3,3.1875995,3.1875995,11.964116,90.0,90.0,119.9999896,hex_,P6_3/mmc,-2.30127663,0.26554455,0.0,Al,Fe,O
mp-1421498,Al1 Fe1 O3,3.801023,3.801023,3.801023,90.0,90.0,90.0,cubic,Pm-3m,-1.162526193,1.404294988,0.0,Al,Fe,O
mp-21216,Al1 Fe1 O3,5.044116,8.669206,9.376979,90.0,90.0,90.0,ortho,Pna2_1,-2.522865346,0.043955835,1.9962,Al,Fe,O
mp-776154,Al1 Fe1 O3,4.868112,5.121179,7.339769,89.99993521,89.99996085,89.99852011,ortho,Pnma,-2.486505097,0.080316083,2.1089,Al,Fe,O
mp-756686,Al1 Ga1 O3,4.889231,5.009529,7.448018,90.0,90.0,90.0,ortho,Pnma,-2.740240362,0.107533477,3.0761,Al,Ga,O
mp-772187,Al1 Ga1 O3,4.995092,8.625028,9.159761,90.0,90.0,90.0,ortho,Pna2_1,-2.819030603,0.028743235,3.4264,Al,Ga,O
mp-772898,Al1 Ga1 O3,5.001676,8.601477,9.277844,90.0,90.0,90.0,ortho,Pna2_1,-2.820103238,0.0276706,3.5313,Al,Ga,O
mp-1178550,Al1 In1 O3,5.119892,5.296575,7.483319,90.0,90.0,90.0,ortho,Pnma,-2.647275432,0.063033766,0.0,Al,In,O
mp-1183160,Al1 In1 O3,3.714679,3.714679,3.714679,90.0,90.0,90.0,cubic,Pm-3m,-2.24250465,0.467804548,0.0,Al,In,O
mp-754157,Al1 In1 O3,3.283820397,3.283820397,12.023484,90.0,90.0,120.000008,hex_,P6_3/mmc,-2.67564913,0.034660067,2.162,Al,In,O
mp-504482,Al1 In1 S3,6.771139126,6.770227804,17.96964451,89.9998925,90.00029741,120.0020705,hex_,P6_1,-1.001912953,0.0,2.0813,Al,In,S
mp-862787,Al1 In1 Se3,7.074358422,7.068211916,18.84396187,89.99924068,90.00046465,120.0581709,hex_,P6_1,-0.863921058,0.0,1.6333,Al,In,Se
mp-1183133,Al1 Ir1 O3,3.664087,3.664087,3.664087,90.0,90.0,90.0,cubic,Pm-3m,-1.200752051,1.079925232,0.0,Al,Ir,O
mp-1246835,Al1 Mo1 N3,11.90426434,5.497726543,8.683642903,119.8052477,112.8501458,114.3003088,tri,P-1,-0.651638213,0.204130195,1.4508,Al,Mo,N
mp-1248370,Al1 Mo1 O3,5.546971423,5.546971423,12.040976,90.0,90.0,119.9999931,hex_,P6_3cm,-2.159343135,0.463632204,0.7348,Al,Mo,O
mp-1373731,Al1 Mo1 O3,5.194591,5.221372,8.205346,90.0,90.0,90.0,ortho,Pnma,-2.446716184,0.176259155,1.4177,Al,Mo,O
mp-1389151,Al1 Mo1 O3,3.263100437,3.263100437,12.403619,90.0,90.0,120.0000089,hex_,P6_3/mmc,-2.042783635,0.580191704,0.0,Al,Mo,O
mp-1433892,Al1 Mo1 O3,4.007721,4.007721,4.007721,90.0,90.0,90.0,cubic,Pm-3m,-1.403197909,1.21977743,0.0,Al,Mo,O
mp-1207084,Al1 Ni3 C1,3.76114,3.76114,3.76114,90.0,90.0,90.0,cubic,Pm-3m,-0.181368981,0.16590739,0.0,Al,C,Ni
mp-1228852,Al1 Ni3 Sb1,4.119012788,4.119012788,4.938456,90.0,90.0,119.9911141,hex_,P-6m2,-0.210452769,0.201821444,0.0,Al,Sb,Ni
mp-1183176,Al1 Ni1 O3,3.657863,3.657863,3.657863,90.0,90.0,90.0,cubic,Pm-3m,-1.386456107,0.819704621,0.0,Al,Ni,O
mp-1333178,Al1 Ni1 O3,5.41073838,5.41073838,11.029357,90.0,90.0,120.0000046,hex_,P6_3cm,-1.846172374,0.359988354,0.0,Al,Ni,O
mp-1376903,Al1 Ni1 O3,4.563563002,4.881148049,8.004403086,89.98369008,90.00054052,90.00336501,ortho,Pnma,-2.013076565,0.193084163,0.0,Al,Ni,O
mp-1400395,Al1 Ni1 O3,3.110613354,3.110613354,11.1539,90.0,90.0,119.9999863,hex_,P6_3/mmc,-1.835644731,0.370515997,0.0,Al,Ni,O
mp-1416557,Al1 Ni1 O3,3.659524,3.659524,3.659524,90.0,90.0,90.0,cubic,Pm-3m,-0.894486111,1.311674617,0.0,Al,Ni,O
mp-1228805,Al1 O1 F3,3.965355,3.965355,3.555823,90.0,90.0,90.0,tet,P4/mmm,-2.133774039,0.962521764,0.0,Al,O,F
mp-1183154,Al1 Pb1 O3,3.83448,3.83448,3.83448,90.0,90.0,90.0,cubic,Pm-3m,-2.191318703,0.22422392,0.0,Al,Pb,O
mp-1178574,Al1 Pd1 O3,3.21994597,3.21994597,11.864006,90.0,90.0,119.9999994,hex_,P6_3/mmc,-1.972920991,0.116577814,0.0,Al,Pd,O
mp-776116,Al1 Pd1 O3,6.63104832,6.63104832,5.34455237,81.56858531,98.43141469,92.49529873,mono,C2/c,-1.933784576,0.155714229,0.0,Al,Pd,O
mp-10040,Al1 Pt3 C1,4.18515,4.18515,4.18515,90.0,90.0,90.0,cubic,Pm-3m,0.211823099,0.765835721,0.0,Al,C,Pt
mp-1178547,Al1 Rh1 O3,3.117126484,3.117126484,11.75262546,90.0,90.0,119.9999984,hex_,P6_3/mmc,-2.223008536,0.038796596,1.7659,Al,Rh,O
mp-1079481,Al1 S1 Br3,7.934782186,7.934782186,6.968014,90.0,90.0,120.0000015,trig,P-3m1,-0.852998276,0.361441953,0.1479,Al,S,Br
mp-1183134,Al1 Sb1 O3,3.753959,3.753959,3.753959,90.0,90.0,90.0,cubic,Pm-3m,-2.269544729,0.319599526,1.1346,Al,Sb,O
mp-1261047,Al1 Sb1 O3,5.503217172,5.118104501,11.5303107,90.04020737,89.91727264,90.07938599,mono,P2_1,-2.527291851,0.061852404,3.9107,Al,Sb,O
mp-1371447,Al1 Sb1 O3,5.259396,5.351299,9.212671,90.0,90.0,90.0,ortho,Pnma,-2.249276157,0.339868098,0.0,Al,Sb,O
mp-1374707,Al1 Sb1 O3,5.67946391,5.67946391,13.101949,90.0,90.0,119.999999,hex_,P6_3cm,-2.18304039,0.406103865,1.2462,Al,Sb,O
mp-1384267,Al1 Sb1 O3,3.516444143,3.516444143,12.703106,90.0,90.0,120.0000027,hex_,P6_3/mmc,-1.787116491,0.802027764,0.0,Al,Sb,O
mp-1421511,Al1 Sb1 O3,4.051755,4.051755,4.051755,90.0,90.0,90.0,cubic,Pm-3m,-1.270632357,1.318511898,0.0,Al,Sb,O
mp-1183132,Al1 Si1 O3,3.559018,3.559018,3.559018,90.0,90.0,90.0,cubic,Pm-3m,-2.154149703,1.038270889,0.0,Al,Si,O
mp-5168,Al1 Si1 P3,5.89959,6.142514,9.906489,90.0,90.0,90.0,ortho,Pnma,-0.37311004,0.007223912,0.2886,Al,Si,P
mp-31220,Al1 Si1 Te3,6.88931547,6.88931598,7.41726321,90.0,90.0,119.9999905,trig,P-31m,-0.332382316,0.0,1.2504,Al,Si,Te
mp-1248301,Al1 Sn1 O3,5.768707415,5.768707415,12.34695,90.0,90.0,119.9999933,hex_,P6_3cm,-2.242107411,0.429956209,0.0,Al,Sn,O
mp-1340379,Al1 Sn1 O3,5.216532,5.317443,10.20113089,64.73593709,90.0,90.0,mono,P2_1/c,-2.436627378,0.235436242,0.0,Al,Sn,O
mp-1406914,Al1 Sn1 O3,3.432207724,3.432207724,12.470372,90.0,90.0,119.9999947,hex_,P6_3/mmc,-2.013690624,0.658372996,0.0,Al,Sn,O
mp-1426094,Al1 Sn1 O3,4.036563,4.036563,4.036563,90.0,90.0,90.0,cubic,Pm-3m,-1.353432764,1.318630856,0.0,Al,Sn,O
mp-768539,Al1 Tl1 O3,5.25126,5.360468,7.612391,90.0,90.0,90.0,ortho,Pnma,-2.188174606,0.075319551,1.2082,Al,Tl,O
