mp_id,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,formation_energy (eV/atom),energy_above_hull (eV/atom),band_gap (eV),A_site,B_site,X_site
mp-572291,K3 Cl1 O1,7.16195439,7.311946965,10.22990925,90.00404383,89.99970258,89.9990891,ortho,Pnma,-1.639031264,0.0003951,1.0785,Cl,O,K
mp-673798,K3 Cl1 O1,5.24302534,10.08188548,7.138101564,45.07325321,90.0,90.0,ortho,Amm2,-1.631949922,0.007476441,1.0264,Cl,O,K
mp-28171,K3 I1 O1,5.29423015,5.29423015,5.29423015,90.0,90.0,90.0,cubic,Pm-3m,-1.4458463,0.0,1.0284,I,O,K
mp-675156,K3 N1 O1,5.218731,5.199099,25.79781071,88.27487677,90.0,90.0,mono,P2,-0.186363353,0.591432868,0.0,N,O,K
mp-1211900,K3 S1 I1,13.99658237,13.99658237,8.213291,90.0,90.0,120.0000017,hex_,P6_3cm,-1.229704849,0.163133435,1.0356,S,I,K
mp-1185008,K1 Ac1 O3,4.65408,4.65408,4.65408,90.0,90.0,90.0,cubic,Pm-3m,-2.212632815,0.207251153,0.0,K,Ac,O
mp-998553,K1 Ag1 Br3,7.427913034,7.427912658,7.42791369,61.64015932,61.64014645,61.64015786,trig,R3c,-1.1788726,0.0,0.0,K,Ag,Br
mp-998568,K1 Ag1 Br3,5.353612944,5.339531111,5.35115276,89.88452946,89.97814515,90.03146015,tet,P4mm,-1.170943684,0.007928916,0.0,K,Ag,Br
mp-2464440,K1 Ag1 Cl3,5.12817365,5.12817365,5.12884144,90.0,90.0,90.0,cubic,Pm-3m,-1.18494259,0.003795701,0.0,K,Ag,Cl
mp-998554,K1 Ag1 Cl3,5.055190599,5.055300118,5.067238667,90.03159851,90.00151249,89.99824553,tet,P4mm,-1.186842439,0.001895852,0.0,K,Ag,Cl
mp-998750,K1 Ag1 Cl3,7.071671229,7.07167202,7.071671844,61.04256827,61.04257136,61.04257547,trig,R3c,-1.188738291,0.0,0.0,K,Ag,Cl
mp-1205357,K1 Ag1 F3,5.99687912,6.18287501,8.5032308,90.0,90.0,90.0,ortho,Pnma,-2.115058583,0.0,0.0,K,Ag,F
mp-13819,K1 Ag1 F3,4.313309,4.313309,4.313309,90.0,90.0,90.0,cubic,Pm-3m,-2.108817263,0.00624132,0.0,K,Ag,F
mp-976229,K1 Ag1 O3,4.192631,4.192631,4.192631,90.0,90.0,90.0,cubic,Pm-3m,-0.490754263,0.326060585,0.0,K,Ag,O
mp-1097006,K1 Al1 H3,3.981683,3.981683,3.981683,90.0,90.0,90.0,cubic,Pm-3m,-0.081973536,0.184462262,0.0,K,Al,H
mp-1184936,K1 Al1 O3,3.867014,3.867014,3.867014,90.0,90.0,90.0,cubic,Pm-3m,-2.056392494,0.271128937,0.0,K,Al,O
mp-1105278,K1 As1 O3,4.591781622,5.913656477,12.93258938,90.01812788,89.99684129,90.00160279,ortho,P2_12_12_1,-1.928226401,0.01070901,3.3848,K,As,O
mp-1184937,K1 As1 O3,3.843473,3.843473,3.843473,90.0,90.0,90.0,cubic,Pm-3m,-1.509571564,0.429363847,0.0,K,As,O
mp-1192552,K1 As1 O3,7.559842347,7.563372239,10.31952457,85.72938349,111.2498839,106.8613524,tri,P-1,-1.933669552,0.005265859,3.1488,K,As,O
mp-1194970,K1 As1 O3,4.90279138,11.38334748,11.51034733,90.0,90.0,90.0,ortho,Pbcn,-1.938935411,0.0,3.0119,K,As,O
mp-1195114,K1 As1 O3,8.940644298,19.12823845,12.23769435,90.0,90.27242595,90.0,mono,P2_1/c,-1.936051058,0.002884353,3.1596,K,As,O
mp-1112174,K1 Au1 Br3,5.413378,5.413378,5.413378,90.0,90.0,90.0,cubic,Pm-3m,-1.103536214,0.046329475,0.0,K,Au,Br
mp-1110854,K1 Au1 Cl3,5.138475,5.138475,5.138475,90.0,90.0,90.0,cubic,Pm-3m,-1.291864017,0.062613485,0.0,K,Au,Cl
mp-1111868,K1 Au1 F3,4.4844,4.4844,4.4844,90.0,90.0,90.0,cubic,Pm-3m,-1.886496883,0.1607116,0.0,K,Au,F
mp-31045,K1 Au1 I3,9.46142359,7.368523763,13.45476131,59.10163995,90.0,90.0,mono,P2_1/c,-0.886814323,0.0,0.6459,K,Au,I
mp-1184942,K1 Au1 O3,4.15778,4.15778,4.15778,90.0,90.0,90.0,cubic,Pm-3m,-0.550954586,0.364279868,0.0,K,Au,O
mp-1223538,K1 Ba1 N3,14.06110916,13.34219538,7.195144682,80.38480049,69.31591885,30.29928066,ortho,F222,1.362704502,1.851196041,0.0,K,Ba,N
mp-973447,K1 Ba1 O3,5.013731,5.013731,5.013731,90.0,90.0,90.0,cubic,Pm-3m,-1.242491632,0.573607507,0.0,K,Ba,O
mp-1211678,K1 Be1 F3,4.45356696,5.41615052,11.98714706,90.0,90.0,90.0,ortho,P2_12_12_1,-3.406749262,0.0,7.0613,K,Be,F
mp-974757,K1 Be1 H3,5.497438,6.861258,9.044220097,74.1085332,90.0,90.0,mono,P2_1/c,-0.197541067,0.007877581,3.0876,K,Be,H
